n_unique_values,std_dev,max_relative_frequency,norm_entropy,min_value,max_value,range_value,shannon_entropy,simpson_index,skewness_probs,kurtosis_probs,dispersion_index,uniformity,top2_ratio,top3_ratio,variable,dataset,type
10,2.51488531339741,0.269712140175219,0.843709786862619,1,10,9,1.94271357804305,0.826979437688851,0.678811261292434,-1.13858011425071,0.0811339581234992,0.843709786862619,0.493116395494368,0.645181476846058,NNIPM,SN217,S
2,0.493415826453305,0.582101806239737,0.980462073016886,1,2,1,0.679604521557614,0.486518586824345,0,0,0.0269628263513095,0.980462073016886,1,1,NSUOCM,SN217,N
3,0.736937343472561,0.491379310344828,0.919333859792041,1,3,2,1.00999147575622,0.61153983353151,-0.0892740463316953,-2.33333333333333,0.0826902497027348,0.919333859792041,0.839655172413793,1,NNUOM,SN217,S
6,1.39909585635913,0.39289761994711,0.814007012880353,1,6,5,1.45850477334642,0.719347690159391,0.492269712015758,-1.82240170713843,0.136782771808731,0.814007012880353,0.708349074423876,0.840952021156026,NCOGNM,SN217,S
2,0.450225168890748,0.72972972972973,0.841852189756321,1,2,1,0.58352747177781,0.394448502556611,0,0,0.211102994886779,0.841852189756321,1,1,NCONIM,SN217,N
2,0.488851529529351,0.631578947368421,0.949452015387949,1,2,1,0.658109987543114,0.465373961218837,0,0,0.0692520775623269,0.949452015387949,1,1,NFIGLM,SN217,S
8,1.78675778150128,0.379018612521151,0.734522408255123,1,8,7,1.52739640902042,0.729498598549592,0.77058804653981,-1.29458108492166,0.166287315943324,0.734522408255123,0.692047377326565,0.839255499153976,NALTM,SN217,S
10,2.46718052729647,0.296111471160078,0.816390229055107,1,10,9,1.87980797148828,0.820395321164845,0.701724303763768,-0.685040214446813,0.0884496431501722,0.816390229055107,0.493065456902139,0.629423201555412,NAMICIM,SN217,S
6,1.15641096201631,0.39488854727133,0.816445298653182,1,6,5,1.46287359496857,0.738649503863515,0.381780729896,-1.31277219583655,0.113620595363782,0.816445298653182,0.606968998206508,0.777094542659493,FREAMI,SN217,O
3,0.800803614164097,0.473310479921645,0.95762632343153,1,3,2,1.05206004687394,0.634789792659728,0.254270206369762,-2.33333333333333,0.0478153110104073,0.95762632343153,0.771914789422135,1,VICINI,SN217,N
2,0.498700202252765,0.536170212765957,0.996221790132343,1,2,1,0.690528325042615,0.497383431416931,0,0,0.00523313716613852,0.996221790132343,1,1,URGE,SN217,N
8,1.81413284130634,0.354129583481666,0.797541665777475,1,8,7,1.65844127103822,0.766921687030233,0.734285625405822,-1.1675734509317,0.123518071965448,0.797541665777475,0.618280526877892,0.771181915272339,NURGEM,SN217,S
5,1.16238009124983,0.387754271765663,0.918246675154364,1,5,4,1.47786101195999,0.745312696755451,0.548431440991142,-1.38015770922645,0.0683591290556864,0.918246675154364,0.591537835638731,0.783726606997559,OPMATR,SN217,O
5,1.03851832360988,0.525304344285656,0.812600652277307,1,5,4,1.30783029744378,0.659306199900255,0.906751643248624,-1.0848343048605,0.175867250124681,0.812600652277307,0.692032083384227,0.828508611212899,OPCONV,SN217,O
5,1.14726748701958,0.335768806890077,0.910352465499674,1,5,4,1.46515577165303,0.745680792358425,0.0337703079269161,-2.13291058360212,0.0678990095519684,0.910352465499674,0.632148250949018,0.828931793134414,OPSOLA,SN217,O
5,0.974832490405936,0.481355654700995,0.822703802578864,1,5,4,1.32409069057412,0.681641557367773,0.651784051095881,-1.35934712724715,0.147948053290284,0.822703802578864,0.705619909131841,0.846833940485449,OPREAD,SN217,O
5,0.998802081879209,0.341975459622518,0.867589790896646,1,5,4,1.39633190190984,0.724646895427205,-0.0831737308581173,-2.19607717126567,0.0941913807159942,0.867589790896646,0.662590192001957,0.883575883575884,OPVIA,SN217,O
5,0.926053855380667,0.534271151885831,0.778466875070906,1,5,4,1.25289410231322,0.644648630607433,0.799662507535749,-1.19644874069779,0.194189211740709,0.778466875070906,0.715677879714577,0.878776758409786,OPDIV,SN217,O
5,0.894550484138971,0.465682476244851,0.808205402055789,1,5,4,1.30075641510263,0.679483897404701,0.43298059632768,-1.64475111664479,0.150645128244124,0.808205402055789,0.706374128298193,0.910607234615228,OPMAD,SN217,O
5,1.00640742983857,0.422526598997187,0.855101910252295,1,5,4,1.37623343335486,0.710663884400837,0.353802854826478,-1.68108724027906,0.111670144498954,0.855101910252295,0.681627328686152,0.856141209082386,OPCURE,SN217,O
5,1.04172536143639,0.329431915500999,0.873407042226125,1,5,4,1.40569440674566,0.730691259407288,-0.226770240116252,-2.19515121848023,0.0866359257408902,0.873407042226125,0.623057787202806,0.882508869948208,OPCASA,SN217,O
5,1.20107787342764,0.393241919686582,0.926369661347962,1,5,4,1.49093445390215,0.747220789287409,0.77549413903987,-1.26260339610289,0.0659740133907392,0.926369661347962,0.588108063989553,0.773996082272282,OPUNCIV,SN217,O
5,0.897622952563441,0.51748394748681,0.7765530247928,1,5,4,1.24981387911691,0.649963551728802,0.682014722130291,-1.38498077064495,0.187545560338998,0.7765530247928,0.75424318023802694,0.868553433397407,OPREAU,SN217,O
5,1.22808252528521,0.364533224622911,0.935614919448441,1,5,4,1.5058141227993,0.757009673421681,0.51340760371685,-1.4243263590801,0.0537379082228987,0.935614919448441,0.583041174072564,0.754545454545455,OPGEN,SN217,O
5,0.852624125481589,0.579525053043904,0.712825655163882,1,5,4,1.14724863437643,0.599358662299749,0.811580904753315,-1.22715130980709,0.250801672125314,0.712825655163882,0.787253141831239,0.910192590174637,OPLAV,SN217,O
