REFYEAR,SEX,AGE,STAPRO,HWACTUAL,COEFF
2013,2,47,5,49,0.2275680433
2013,1,47,5,0,0.2408393741
2013,1,32,0,20,0.2812941259
2013,2,65,9,99,0.154689794
2013,2,32,0,54,0.0470721398
2013,2,20,9,99,0.065350094
2013,2,75,9,99,0.213024437
2013,1,65,9,99,0.1106124381
2013,2,7,9,99,0.2675667186
2013,2,7,9,99,0.460641941
2013,2,47,5,25,0.1367179796
2013,2,47,9,99,0.0965532588
2013,2,65,9,99,0.1844831884
2013,2,7,9,99,0.1614204289
2013,1,47,0,16,0.1063810626
2013,2,32,9,99,0.1169766253
2013,1,65,9,99,0.0546317976
2013,1,7,9,99,0.2778289425
2013,1,75,9,99,0.0263871503
2013,1,7,9,99,0.1265470412
2013,2,47,9,99,0.1019938788
2013,2,32,9,99,0.146110532
2013,2,75,9,99,0.0187919239
2013,1,32,5,40,0.1685775772
2013,1,75,9,99,0.1000236537
2013,1,32,5,40,0.4170027535
2013,1,75,9,99,0.0689529272
2013,1,65,9,99,0.0212010404
2013,2,75,9,99,0.0276636993
2013,2,47,5,8,0.0336615681
2013,1,20,9,99,0.2915744572
2013,1,7,9,99,0.1201523911
2013,1,47,5,32,0.4711092336
2013,1,20,9,99,0.1833905372
2013,2,7,9,99,0.1703660042
2013,1,65,9,99,0.1559694894
2013,2,7,9,99,0.2936072401
2013,1,65,9,99,0.1778496829
2013,1,20,9,99,0.0881754698
2013,2,75,9,99,0.1578783846
2013,1,75,9,99,0.0652652384
2013,1,75,9,99,0.0545387994
2013,1,7,9,99,0.2256629477
2013,2,65,9,99,0.055876013
2013,2,47,9,99,0.29026538
2013,2,47,9,99,0.2921374254
2013,2,7,9,99,0.1325080621
2013,1,65,0,40,0.0719174769
2013,1,47,9,99,0.2696353151
2013,1,47,5,32,0.1708691038
2013,2,65,0,77,0.2571481339
2013,2,32,5,40,0.096255381
2013,1,20,5,24,0.2394864606
2013,2,75,9,99,0.0584996839
2013,2,32,9,99,0.1407922975
2013,1,7,9,99,0.0823934837
2013,2,32,5,40,0.1423514752
2013,2,65,9,99,0.0430805375
2013,2,20,9,99,0.0603497723
2013,2,32,9,99,0.3019324058
2013,2,65,9,99,0.1509032372
2013,1,32,5,60,0.1023651015
2013,2,47,9,99,0.1372737707
2013,1,47,5,36,0.2291119251
2013,1,47,5,40,0.3226761561
2013,1,65,0,55,0.103940311
2013,1,75,9,99,0.1773774561
2013,1,65,9,99,0.1510462355
2013,1,65,9,99,0.066444708
2013,1,65,5,40,0.0759423039
2013,1,32,5,36,0.2143323885
2013,1,47,5,32,0.0888481742
2013,1,20,9,99,0.3058261505
2013,1,20,9,99,0.1460039784
2013,1,47,5,38,0.1122989989
2013,1,32,0,30,0.1032945994
2013,2,20,9,99,0.2396720635
2013,2,7,9,99,0.2919655158
2013,2,65,9,99,0.1833288734
2013,1,7,9,99,0.1240749653
2013,2,32,9,99,0.2205622979
2013,2,75,9,99,0.1385254533
2013,2,32,5,25,0.2066536957
2013,2,47,9,99,0.1638175402
2013,2,75,9,99,0.1484621453
2013,1,7,9,99,0.0316905406
2013,1,47,5,20,0.1629664468
2013,1,47,5,45,0.0601359625
2013,1,47,5,40,0.0815555337
2013,1,32,9,99,0.1778567693
2013,2,65,9,99,0.3617856184
2013,1,7,9,99,0.2129817667
2013,2,47,5,20,0.249427726
2013,1,47,9,99,0.1888188256
2013,1,20,9,99,0.072190763
2013,2,75,9,99,0.0931933166
2013,2,65,9,99,0.1041927971
2013,2,75,9,99,0.1193351566
2013,1,65,0,70,0.1379482906
2013,1,47,9,99,0.1132070048
2013,1,32,5,40,0.1365484365
2013,1,32,0,0,0.0484840384
2013,1,65,0,40,0.2630620202
2013,1,32,5,20,0.1029040302
2013,2,65,9,99,0.1124889492
2013,1,47,5,40,0.1236824905
2013,1,65,9,99,0.0362251775
2013,2,75,9,99,0.1587912641
2013,2,32,9,99,0.2464475001
2013,2,20,9,99,0.0541943163
2013,2,47,9,99,0.1681335974
2013,2,32,5,20,0.1761152242
2013,2,47,5,30,0.079750714
2013,1,20,9,99,0.1629665341
2013,1,7,9,99,0.0926778424
2013,1,65,5,24,0.1016146127
2013,2,47,9,99,0.2172019063
2013,2,47,5,24,0.1225144709
2013,2,65,9,99,0.2146290252
2013,2,7,9,99,0.1131891743
2013,1,65,5,36,0.2831647662
2013,2,65,0,30,0.092011236800000007
2013,2,65,9,99,0.1187873188
2013,2,65,9,99,0.058809449
2013,2,7,9,99,0.1245839807
2013,2,47,9,99,0.0294360054
2013,2,75,9,99,0.1405323822
2013,1,7,9,99,0.0700147204
2013,1,65,5,40,0.2120548638
2013,1,32,5,32,0.1881227668
2013,2,7,9,99,0.1518086151
2013,1,7,9,99,0.1076141774
2013,2,75,9,99,0.1169368467
2013,2,65,9,99,0.2280174473
2013,1,32,9,99,0.1046575131
2013,2,20,9,99,0.1620273889
2013,2,7,9,99,0.1868533961
2013,2,47,0,40,0.2257062459
2013,2,32,0,17,0.1389748011
2013,2,65,5,36,0.1531441678
2013,2,75,9,99,0.0682257649
2013,2,65,9,99,0.1269040429
2013,2,47,5,20,0.1757790122
2013,1,7,9,99,0.0663223805
2013,2,47,9,99,0.1890828756
2013,1,20,9,99,0.1856190326
2013,2,47,5,40,0.2680968182
2013,1,65,5,36,0.157366602
2013,2,47,5,18,0.0303228717
2013,1,47,5,36,0.0703317004
2013,1,32,5,40,0.3000010932
2013,1,47,0,46,0.1271413266
2013,2,47,5,36,0.1834823476
2013,2,75,9,99,0.0519842446
2013,2,7,9,99,0.0708941038
2013,2,65,9,99,0.095335164
2013,1,75,9,99,0.2695048071
2013,2,47,9,99,0.0851163749
2013,2,7,9,99,0.0979933079
2013,1,32,9,99,0.171143292
2013,2,47,5,12,0.1138344031
2013,2,65,0,50,0.1107572863
2013,1,47,5,50,0.1170127659
2013,2,75,9,99,0.0605238722
2013,1,32,9,99,0.1782678647
2013,2,20,5,40,0.233720598
2013,2,32,0,30,0.0769722495
2013,1,65,9,99,0.0327586508
2013,2,75,9,99,0.1581760007
2013,1,7,9,99,0.0696293317
2013,2,65,5,30,0.1306752291
2013,2,65,9,99,0.0265003789
2013,2,47,5,0,0.0846974152
2013,2,65,5,36,0.1743028542
2013,1,32,5,0,0.0483704587
2013,1,47,5,32,0.0324653994
2013,2,75,9,99,0.0250011902
2013,2,65,5,30,0.0665716243
2013,2,47,5,36,0.1190458637
2013,2,47,5,20,0.1099846275
2013,1,65,0,50,0.0630630017
2013,2,65,0,18,0.1526092887
2013,1,65,9,99,0.1700386191
2013,2,7,9,99,0.125187892
2013,2,75,9,99,0.1186767061
2013,2,7,9,99,0.0827710173
2013,2,20,9,99,0.044653292
2013,1,47,5,36,0.1321746595
2013,1,32,0,30,0.1540146006
2013,2,47,5,20,0.3033672714
2013,2,20,9,99,0.1754299025
2013,2,20,9,99,0.2079941249
2013,2,65,9,99,0.2456528588
2013,2,65,5,28,0.0714573217
2013,1,47,0,45,0.287060062
2013,1,32,5,50,0.1955359284
2013,2,75,9,99,0.0321659638
2013,2,47,5,30,0.2099996425
2013,2,65,9,99,0.0304981324
2013,1,75,9,99,0.0338727007
2013,2,47,5,25,0.2766337043
2013,2,7,9,99,0.2355733607
2013,1,20,9,99,0.1187742599
2013,1,47,0,40,0.0352070971
2013,1,20,9,99,0.045431312
2013,1,47,5,40,0.2456150188
2013,2,47,9,99,0.1603223228
2013,1,47,5,38,0.0898937176
2013,2,47,5,36,0.0512388438
2013,2,32,9,99,0.2110588759
2013,2,47,0,40,0.0926504021
2013,1,7,9,99,0.1333070393
2013,2,65,9,99,0.0742363611
2013,1,65,9,99,0.3180936562
2013,1,7,9,99,0.2548759925
2013,2,7,9,99,0.2433244162
2013,1,20,9,99,0.1836408379
2013,2,75,9,99,0.2060284586
2013,2,32,5,20,0.1822762852
2013,2,32,9,99,0.1928646032
2013,2,65,9,99,0.1535027772
2013,2,65,9,99,0.1419369566
2013,1,7,9,99,0.2601299324
2013,2,75,9,99,0.1011996656
2013,1,65,9,99,0.2506287466
2013,1,7,9,99,0.0802198282
2013,2,65,9,99,0.1815082156
2013,1,47,9,99,0.1305275895
2013,2,65,9,99,0.1233326598
2013,1,32,5,40,0.1934698679
2013,1,47,0,0,0.1569067523
2013,2,47,5,40,0.3638284955
2013,2,47,5,25,0.2562728139
2013,2,75,9,99,0.1215964732
2013,2,47,0,40,0.1832434694
2013,1,7,9,99,0.0857615701
2013,1,32,0,40,0.1299511706
2013,1,75,9,99,0.1532350828
2013,2,65,9,99,0.1389421888
2013,1,7,9,99,0.2180887617
2013,1,75,9,99,0.0718246884
2013,2,75,9,99,0.1365271244
2013,1,32,5,8,0.2701966021
2013,2,65,9,99,0.0765763947
2013,2,32,5,40,0.1150393854
2013,2,7,9,99,0.0535403778
2013,2,47,9,99,0.1211464409
2013,2,75,9,99,0.0673356176
2013,2,47,5,36,0.1340687608
2013,2,7,9,99,0.1328547425
2013,1,7,9,99,0.1605115932
2013,2,20,9,99,0.1867678795
2013,2,65,9,99,0.3675316679
2013,1,20,9,99,0.0545340219
2013,1,47,5,40,0.0949236704
2013,1,7,9,99,0.090629858
2013,1,32,9,99,0.1684339056
2013,2,32,0,35,0.3345124133
2013,1,7,9,99,0.2262116766
2013,2,32,9,99,0.2369259201
2013,2,32,9,99,0.124389875
2013,2,65,5,38,0.1339340742
2013,2,20,9,99,0.0539603153
2013,1,65,9,99,0.1212289197
2013,2,65,9,99,0.0477790766
2013,2,7,9,99,0.039007191
2013,1,47,9,99,0.1169203341
2013,1,32,5,36,0.4095236795
2013,2,7,9,99,0.0264749096
2013,2,65,9,99,0.1245467298
2013,1,32,5,45,0.2585828667
2013,1,20,9,99,0.1787526124
2013,1,32,0,40,0.0710657346
2013,1,20,9,99,0.2007256184
2013,1,7,9,99,0.1731455866
2013,2,65,9,99,0.1144243899
2013,2,7,9,99,0.1149973979
2013,2,47,5,18,0.2011157488
2013,2,47,0,40,0.1593211953
2013,2,75,9,99,0.0752865014
2013,1,65,9,99,0.194350766
2013,1,65,9,99,0.1221204292
2013,2,65,9,99,0.0987941866
2013,2,20,9,99,0.1158247989
2013,1,47,9,99,0.0952466116
2013,1,20,5,20,0.1665334793
2013,2,47,9,99,0.1635920077
2013,2,65,5,36,0.2065713104
2013,2,20,9,99,0.345301531
2013,2,20,5,40,0.1970957125
2013,2,75,9,99,0.1537676308
2013,1,47,5,20,0.0259905529
2013,1,7,9,99,0.4472023092
2013,1,65,0,55,0.0798934811
2013,1,32,9,99,0.1419485069
2013,2,75,9,99,0.0331602854
2013,1,47,9,99,0.1670449984
2013,1,47,5,40,0.2120187812
2013,2,65,9,99,0.2298129749
2013,2,7,9,99,0.1540716064
2013,2,47,9,99,0.3154792331
2013,2,75,9,99,0.1515615771
2013,1,75,9,99,0.1088814863
2013,1,32,9,99,0.1368449134
2013,2,75,9,99,0.0541778371
2013,1,47,0,24,0.1229338752
2013,1,20,9,99,0.0419909098
2013,2,47,5,40,0.2337350627
2013,2,47,5,20,0.1527043862
2013,1,7,9,99,0.1258753936
2013,2,47,5,40,0.1156820375
2013,2,65,9,99,0.1754270785
